City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
188,ocean shores,46.9737,-124.1563,283.72,94,100,7.2,US,1731464210
189,amungan,15.3652,119.9582,302.11,72,75,2.69,PH,1731464211
190,taoudenni,22.6783,-3.9836,296.39,20,0,2.7,ML,1731464212
191,alotau,-10.3069,150.4462,301.41,82,84,2.67,PG,1731464214
192,hawaiian paradise park,19.5933,-154.9731,298.88,78,40,3.09,US,1731464215
193,nishinoomote,30.7333,131.0,296.46,73,40,3.6,JP,1731464216
194,port mathurin,-19.6833,63.4167,297.49,81,66,7.8,MU,1731464219
195,greece,43.2098,-77.6931,278.38,73,100,5.14,US,1731464220
196,soure,-0.7167,-48.5233,300.4,76,100,5.11,BR,1731464221
197,pisco,-13.7,-76.2167,292.18,82,0,2.57,PE,1731464223
198,enewetak,11.3474,162.3373,301.8,77,57,6.69,MH,1731464224
199,echzell,50.4,8.9,278.22,90,98,2.35,DE,1731464225
200,sumbawa besar,-8.5,117.4333,308.57,36,7,2.73,ID,1731464226
201,obock,12.25,43.0833,293.87,78,5,4.18,DJ,1731464228
202,dauphin,51.1494,-100.0502,277.23,87,0,3.09,CA,1731464230
203,dzhalagash,45.0833,64.6667,268.74,61,0,4.14,KZ,1731464232
204,cill airne,52.05,-9.5167,279.25,79,3,1.05,IE,1731464233
205,karangampel,-6.4622,108.4519,302.81,66,85,3.19,ID,1731464234
206,greymouth,-42.4667,171.2,289.41,45,0,2.77,NZ,1731464236
207,bedugul,-8.2847,115.1606,296.75,55,11,1.06,ID,1731464237
208,ouadda,8.0777,22.4007,293.54,58,30,1.66,CF,1731464238
209,nova sintra,14.8667,-24.7167,299.56,68,10,6.27,CV,1731464239
210,queenstown,-31.8976,26.8753,284.66,78,15,1.44,ZA,1731464241
211,durban,-29.8579,31.0292,292.66,87,22,4.72,ZA,1731464158
212,nabire,-3.3667,135.4833,300.57,76,78,0.89,ID,1731464243
213,salekhard,66.53,66.6019,249.1,94,86,1.38,RU,1731464245
214,kasimov,54.9411,41.3953,271.14,90,99,3.31,RU,1731464246
215,arroio grande,-32.2375,-53.0869,284.59,75,6,1.56,BR,1731464247
216,strelka,58.0728,93.0344,262.56,83,100,4.77,RU,1731464248
217,el granada,37.5027,-122.4694,286.36,79,100,0.45,US,1731464250
218,northam,51.0333,-4.2167,282.93,81,39,4.19,GB,1731464251
219,ain sukhna,29.6002,32.3167,291.74,84,98,2.8,EG,1731464252
220,dordrecht,51.81,4.6736,280.36,93,100,0.45,NL,1731464253
221,tanjung selor,2.8372,117.3642,304.71,61,31,0.28,ID,1731464255
222,nogliki,51.8333,143.1667,270.59,41,48,5.85,RU,1731464257
223,klungkung,-8.5333,115.4,304.26,60,17,3.33,ID,1731464259
224,ha'il,27.5219,41.6907,288.16,77,0,4.12,SA,1731464260
225,lompoc,34.6391,-120.4579,288.53,65,0,5.66,US,1731464261
226,kolokani,13.5728,-8.0339,297.35,27,99,0.52,ML,1731464262
227,reggane,26.7158,0.1714,294.11,36,86,2.81,DZ,1731464264
228,tangalle,6.024,80.7911,298.92,86,16,2.08,LK,1731464265
229,ust-tsilma,65.441,52.1498,272.77,99,100,0.11,RU,1731464266
230,wenchang,30.904,118.4887,293.51,62,4,1.87,CN,1731464267
231,lokomotivnyy,53.0118,60.5684,268.32,87,100,5.73,RU,1731464269
232,ghanzi,-21.5667,21.7833,296.05,60,52,2.42,BW,1731464270
233,colonia,50.9333,6.95,280.91,75,100,1.54,DE,1731464271
234,le pouliguen,47.2697,-2.4278,282.12,89,4,8.74,FR,1731464274
235,antofagasta,-23.65,-70.4,290.75,81,50,1.15,CL,1731464275
236,huarmey,-10.0681,-78.1522,291.59,84,97,2.77,PE,1731464277
237,goondiwindi,-28.55,150.3167,305.31,35,80,5.55,AU,1731464278
238,lorengau,-2.0226,147.2712,303.36,65,55,2.83,PG,1731464279
239,richards bay,-28.783,32.0377,292.03,95,24,1.9,ZA,1731464281
240,guerrero,17.6667,-100.0,291.49,88,100,2.33,MX,1731464282
241,tobelo,1.7284,128.0095,302.31,72,44,2.37,ID,1731464283
242,kuta,-8.7233,115.1723,304.12,79,20,4.63,ID,1731464285
243,tazovsky,67.4667,78.7,250.51,95,94,4.52,RU,1731464286
244,happy valley-goose bay,53.3168,-60.3315,268.32,80,75,4.63,CA,1731464287
245,sitka,57.0531,-135.33,279.09,87,100,0.0,US,1731464288
246,stettler,52.3168,-112.7186,276.24,53,2,2.79,CA,1731464290
247,guerrero negro,27.9769,-114.0611,289.74,79,0,7.2,MX,1731464291
248,bikenibeu village,1.3673,173.1241,304.13,66,20,4.12,KI,1731464292
249,sibut,5.718,19.0739,295.66,88,57,0.5,CF,1731464293
250,calama,-22.4667,-68.9333,286.42,21,0,2.57,CL,1731464295
251,kirakira,-10.4544,161.9205,302.94,74,100,4.54,SB,1731464296
252,wanning,18.8003,110.3967,299.6,75,62,2.0,CN,1731464297
253,uren',57.4552,45.7852,271.9,89,100,2.5,RU,1731464299
254,santa terezinha,-29.9002,-50.0904,289.61,68,82,3.15,BR,1731464300
255,poyarkovo,49.6,128.6833,272.34,57,96,3.16,RU,1731464301
256,yekaterinoslavka,50.3734,129.1139,269.61,74,69,4.07,RU,1731464302
257,manado,1.487,124.8455,305.58,70,40,2.06,ID,1731464304
258,praia da vitoria,38.7333,-27.0667,293.29,94,75,5.87,PT,1731464305
259,ryotsu-minato,38.0833,138.4333,285.79,58,4,4.58,JP,1731464306
260,polyarnyy,69.1989,33.4478,274.37,89,100,7.69,RU,1731464307
261,angaur state,6.906,134.13,301.89,71,73,1.88,PW,1731464309
262,new norfolk,-42.7826,147.0587,289.1,95,100,0.74,AU,1731464310
263,kalmunai,7.4167,81.8167,300.46,79,3,3.13,LK,1731464311
264,lerwick,60.1545,-1.1494,283.82,89,98,7.68,GB,1731464313
